,user_name,user_id,favourite_count,followers_count,is_verified,friends_count
0,ayokasystems,164416840,5932,1467,False,1512
1,suhaniraut16,1419148278193475595,101,19,False,27
2,ParliamoDiNews,27007409,11,1241,False,1209
3,asheokand,47345308,15185,224,False,897
4,titrespresse,786625296,19,3048,False,559
5,TemsSinger,1481246934455226368,9,4,False,5
6,InversorExperto,1140582979158364160,10759,12545,False,419
7,JackFilali,1377802302564794377,38,2,False,13
8,FrankJo87435613,1367568131166773253,4160,40,False,23
9,OllieKern10,1214923302436790272,1133,79,False,804
10,DTaILoRGuY,308992198,38228,1571,False,1074
11,smallcapsteve,40482177,20922,8939,False,690
12,marastehtkopf,1483456938306326532,11591,1490,False,1795
13,iamsunnycruzz,1476286573973053442,980,284,False,149
14,LimeriTweets,138760747,13261,758,False,1702
15,Jackalex460,1490352166069956608,42,14,False,263
16,Fiodor1976,705402550,14819,978,False,1025
17,Shyom977,1511441741999656966,15,13,False,216
18,charlesarnett,38261707,44,46,False,238
19,Graphicgh,905039162,1138,178399,True,138
20,enochfrimpong,51742131,206,1055,False,295
21,TomicekM,1268511220606304256,904,129,False,14
22,KalkineMediaNZ,1341649936765472769,2,56,False,4
23,jimrockfordatSH,2726345108,1815,11163,False,12258
24,TheDeepDive_ca,924846537775095808,113844,9954,False,627
25,KhiIadiMass,1512750711422869504,37,52,False,192
26,kalkine_ca,1275046311927013376,104,135,False,88
27,kalkineau,1005789907,9148,3709,True,4659
28,ULTRATechLife,753805402941235200,427,208,False,25
29,xglobalmarkets,733611692,137,4482,False,2632
30,DannyLaanDH,587300475,3705,271,False,522
31,kalkine_uk,1275043752038432768,42,142,False,115
32,JulianCHall2,1299730869473751042,97,12,False,11
33,Khajaajahk,231094925,2721,104,False,869
34,TripleTalkWMKT,1506240532015718400,38,2,False,76
35,reportkoeln,526574573,18,3351,False,578
36,occupymars42069,1246503261730938880,83445,1202,False,484
37,UpdateRail,1213508558546800640,4274,336,False,358
38,Rishik_Raiden,316575668,23694,734,False,2059
39,ekonomibilir,1427582203127648257,10,165,False,345
40,denispobrien,30363331,3548,275,False,428
41,steven1f,2612769212,952,10,False,235
42,norton620,380370418,1547,204,False,438
43,ITTagesschau,3751794915,351,3149,False,2174
44,CompareBroker1,1400519478119706627,1401,39,False,184
45,firstrodewitzer,42291979,76981,1933,False,4889
46,Sprotte82266701,1184892191128334336,5348,138,False,177
47,BirgitK42607219,1223681481274535936,93723,596,False,405
48,NavarrozaRaffy,1364135578204168196,525,14,False,156
49,kayo_ruhe,1148257092689678336,2477,295,False,1295
50,TheSaudiPost_En,1320104036,1268,550759,False,10
51,agonzalezsu,27067452,2588,476,False,2748
52,GlobalHabari,1423026961,248,15721,False,2151
53,AusSpanienniks1,1273626541054926848,95392,1654,False,1838
54,Pushpendraaaaaa,1377311393335160832,43,7,False,26
55,g_riederer,475901833,95689,1248,False,1271
56,forch20131,2557056728,5048,2066,False,4861
57,Gubboasru,35750166,15560,1171,False,1781
58,FrRonconi,1409726425,23641,46449,False,2345
59,sakthivignesh88,233154269,11080,1373,False,302
60,QuakerProgress,27890789,215247,5414,False,5285
61,OliverSKBerlin,941295931227598848,238417,9965,False,10882
62,Ace2_win,1486343646249054211,561,152,False,280
63,ll_AXE_ll,1386917808202604544,15304,39,False,290
64,AsianetNewsTM,738683931520798720,26,36793,True,272
65,technextdotng,881613862843404288,16012,5830,False,161
66,efipm,117780256,21082,17793,False,8517
67,pragmacrat,1375818598661435392,21,4,False,27
68,letsponderit,1491651028013699074,155,46,False,41
69,beinvgvishal21,2806941987,3205,91,False,4990
70,NewsMediaNest,1208424607843143680,70,22,False,170
71,AnyPollApp,777941466958008320,7,203,False,730
72,buliosofficial,1020262812050952193,5782,1601,False,225
73,nitl_app,1281883652880773120,1597,805,False,1485
74,MaraEnslin,3917981063,195580,692,False,56
75,axjus,18381837,46,653,False,5001
76,MomentumTraderz,42278371,15458,8975,False,12
77,olisemark,234137582,3238,984,False,1007
78,ilmessaggeroit,36079217,412,490729,False,159
79,jwmaylam,2409295300,465,63,False,346
80,coinscreed,998151526509088768,996,8504,False,141
81,Natasha7_N,218901946,6760,63,False,365
82,salman_memon_7,740089381017378816,50087,130,False,116
83,carteblanchetv,122066148,16764,334994,True,423
84,marktadvisor,743860589932453888,332,391,False,1983
85,Marathi47353331,1489201056848384004,5137,73,False,278
86,vjvwebworld,1499151036337901571,812,8,False,390
87,CryptoPandajr,2270594744,41306,66928,False,80
88,abjunior777,867885139212292096,2339,425,False,187
89,Varsha_cuteee,1001443385478033409,1020,28,False,9
90,idontcarejoe,1412385232993521669,429,7,False,47
