,text,favourite_count,retweet_count,created_at,language,is_retweet,user_name
0,"This is TRUE.
Go look at the “ Joined Date / Member Since ” on some of the accounts without many followers that are acting like “Bots”

The Majority were created in 2009 and are just now recently tweeting bot like responses.
#ElonMuskTwitter #TrumpWasRight #Bots #fakeAccounts https://t.co/Z6IHM0N06L",0,0,2022-05-14 13:29:48+00:00,en,False,LuigiValentino
1,"Sorry, but my position as Executive Director of the Museo Uffizi is on hold; and my purchase of a waterfront villa next to the Clooney's on Largo Como is on hold. #ElonMuskTwitter",0,0,2022-05-14 13:26:21+00:00,en,False,Kristen53809423
2,RT @moosechris: Twitter moving towards a protocol and embracing identity is the under-reported story in Elon's #Twitter  plan --&gt;&gt; https://…,0,100,2022-05-14 13:14:50+00:00,en,False,JeaniefaetroonJ
3,…et vos comptes #Twitter pour le cas où #ElonMuskTwitter le racheté…tant qu’à faire 🤣😅😂 https://t.co/KbqaMnXHXa,0,0,2022-05-14 13:04:38+00:00,fr,False,notaure
4,"@coin_gabbar What has #Parag #Agrawal, #JackDorsey's #replacement as #TwitterCEO, said about #cryptocurrency?
#TwitterCEO #ElonMusk #ElonMuskTwitter #ParagAgrawal",3,0,2022-05-14 13:00:47+00:00,en,False,ManavSandhuji
5,GM How are ya’ll doing #bitcoin #nft #nfts #ethereum #eth #ethereumnfts #elonmusktwitter,1,1,2022-05-14 13:00:30+00:00,en,False,Fo3Real
6,"RT @ReadScoops: Will Elon Musk acquire Twitter?

#ElonMusk #TwitterTakeover #Twitter #ElonMuskBuyTwitter #ElonMuskTwitter",0,1,2022-05-14 12:49:18+00:00,en,False,ReadScoops
7,"RT @MeseeksMobileGO: 🚨#Giveaway🚨
   It's that time again!

@HyperX Keyboard &amp; Mouse!

Many ways to #entertowin this #GleamGiveaway

Don't m…",0,385,2022-05-14 12:46:32+00:00,en,False,JJJames67
8,RT @GochaSuper: Me parece acertado que @elonmusk no compre Twitter hasta que no haya una depuración total de cuentas fantasmas y demás. Ser…,0,6,2022-05-14 12:46:13+00:00,es,False,jodiomon
9,"RT @DaoRex_official: As builders from #DeFi and #GameFi , we fully support the reform of @Twitter 

Who should buy @Twitter ?

@elonmusk?
O…",0,65,2022-05-14 12:34:26+00:00,en,False,Hddhj89271267
10,"RT @CCNnet: https://t.co/ytX8sYZTyo
#cryptocurrency #ElonMuskTwitter https://t.co/ShEy3k04E3",0,139,2022-05-14 12:33:43+00:00,und,False,MahdiMo11360
11,"Read More : https://t.co/MHxh6gAJtC

#elonmusknews  #socialmedia #tesla #elonmusktwitter #tech #technews  #technology #techxpakistan https://t.co/yIEOeDNWgl",0,0,2022-05-14 12:33:02+00:00,en,False,TechX_PK
12,"Elon Musk puts the Twitter deal on hold over fake account data.
https://t.co/DsDgS1sWNE
#ElonMusk #ElonMuskTwitter #TwitterTakeover #savedelete",0,0,2022-05-14 12:30:00+00:00,en,False,Save_Delete
13,"RT @BusinessBeijing: Tesla CEO #ElonMusk announced on Friday the $44-billion deal to buy #Twitter was ""temporarily on hold"" over details ar…",0,2,2022-05-14 12:09:23+00:00,en,False,BzAhChan
14,Despiden a directores de Twitter en medio de compra de Musk - https://t.co/dNZ5tjKcvA #EVNews #Twitter #ElonMuskTwitter,0,0,2022-05-14 12:00:01+00:00,es,False,elvenezolanomad
