,user_name,user_id,favourite_count,followers_count,is_verified,friends_count
0,elonmusk,44196397,13264,94078017,True,110
1,Tesla,13298072,4202,15546296,True,78
2,thor_artilary,1236182296048230400,67,8,False,31
3,Twitter,783214,6243,61838159,True,0
4,todongpnoy,1174966206379331586,4912,1213,False,2262
5,JayinShanghai,1082181922606858241,21457,17629,False,997
6,worldcobaltday,1295690605226582017,102,6,False,21
7,nypost,17469289,1926,2689343,True,10988
8,EDCTechGear,1216962091053174785,11333,201,False,665
9,asifalij95,915868390643953664,185,70,False,953
10,FrRonconi,1409726425,24097,48696,False,2363
11,arwed2801,47065178,2719,209,False,857
12,CurieuxExplorer,1249601030502756353,133846,21975,False,7678
13,DogecoinCyprus,1381896094922240000,34971,730,False,528
14,Utoday_en,953559767242498049,683,56018,False,4417
15,education_24x7,1295715136141963267,18,7108,False,7
16,mvollmer1,99674560,314584,98994,False,81241
17,ll_AXE_ll,1386917808202604544,17009,46,False,310
18,cz_binance,902926941413453824,17001,6199544,True,1796
