,user_name,user_id,favourite_count,followers_count,is_verified,friends_count
0,JayinShanghai,1082181922606858241,21457,17629,False,997
1,darkjournalist,255232449,11758,24132,False,903
2,Willard_Austria,984166701880217603,64719,172,False,129
3,moosechris,69791520,1256,865,False,1222
4,TheSizzleReport,1122396663811837952,99374,50378,False,31625
5,stevenmarkryan,31263848,6880,117355,False,142
6,RohanTheHuman,935317576204238850,24260,110,False,157
7,Utoday_en,953559767242498049,683,56018,False,4417
8,rubyjean72802,589889711,8023,476,False,2198
9,FightClubTesla_,1507192920004304898,924,49,False,116
10,Teslaconomics,985243593538338816,50523,38343,False,189
11,PawlowskiMario,968008274003005440,120105,30160,False,12078
12,CurieuxExplorer,1249601030502756353,133846,21975,False,7678
13,JohnPersinos1,384859207,10898,2848,False,1119
14,ll_AXE_ll,1386917808202604544,17009,46,False,310
15,chillFabio,1224822877133910016,10788,38,False,77
16,occupymars42069,1246503261730938880,96288,1560,False,150
17,pettet50,3194071636,106334,2661,False,2514
18,UpdateRail,1213508558546800640,5533,474,False,384
19,MagicCraftGame,1440205262783070213,1452,77356,True,54
