,user_name,user_id,favourite_count,followers_count,is_verified,friends_count
0,elonmusk,44196397,13263,94077744,True,110
1,Tesla,13298072,4202,15546273,True,78
2,Twitter,783214,6243,61838149,True,0
3,thor_artilary,1236182296048230400,67,8,False,31
4,mysticinthemoon,1254963620,12303,10560,False,820
5,darkjournalist,255232449,11758,24132,False,903
6,Willard_Austria,984166701880217603,64719,172,False,129
7,asifalij95,915868390643953664,185,70,False,953
8,JayinShanghai,1082181922606858241,21457,17629,False,997
9,worldcobaltday,1295690605226582017,102,6,False,21
10,PawlowskiMario,968008274003005440,120105,30160,False,12078
11,FrRonconi,1409726425,24094,48696,False,2363
12,Utoday_en,953559767242498049,683,56018,False,4417
13,arwed2801,47065178,2719,209,False,857
14,arikring,59386332,274079,89658,False,61414
15,moosechris,69791520,1256,865,False,1222
16,CurieuxExplorer,1249601030502756353,133846,21975,False,7678
17,TheSizzleReport,1122396663811837952,99374,50378,False,31625
18,ll_AXE_ll,1386917808202604544,17009,46,False,310
19,SpaceX,34743251,388,22889074,True,100
