,user_name,user_id,favourite_count,followers_count,is_verified,friends_count
0,FinTheSentence,1466008831356547079,161,1,False,12
1,darkjournalist,255232449,11758,24132,False,903
2,Willard_Austria,984166701880217603,64719,172,False,129
3,JayinShanghai,1082181922606858241,21457,17629,False,997
4,kirillklip,132288724,299926,7874,False,7514
5,Utoday_en,953559767242498049,683,56018,False,4417
6,moosechris,69791520,1256,865,False,1222
7,TheSizzleReport,1122396663811837952,99374,50378,False,31625
8,ll_AXE_ll,1386917808202604544,17009,46,False,310
9,JohnPersinos1,384859207,10898,2848,False,1119
10,PawlowskiMario,968008274003005440,120105,30160,False,12078
11,MagicCraftGame,1440205262783070213,1452,77356,True,54
12,SpheronHQ,1295797572682964992,2157,33656,False,733
13,DrJDrooghaag,3429955204,337913,44454,False,13540
14,Web3Platform,1520883940843655168,6,3636,False,13
15,Zxcxz_xyz,1096724430087208960,2585,213,False,944
16,ttindia,141080858,222,302450,True,133
17,MeseeksMobileGO,1145022642975461376,11336,4185,False,576
18,stevenmarkryan,31263848,6880,117355,False,142
